Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\MauiMicroMvvm\MauiMicroMvvm.csproj,File,src\MauiMicroMvvm\MauiMicroMvvm.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\MauiMicroMvvm.Rx\MauiMicroMvvm.Rx.csproj,File,src\MauiMicroMvvm.Rx\MauiMicroMvvm.Rx.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sample\MauiMicroSample\MauiMicroSample.csproj,File,sample\MauiMicroSample\MauiMicroSample.csproj,,,Microsoft.Extensions.Logging.Console 8.0.0,,,,,"Microsoft.Extensions.Logging.Console, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.1"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,sample\MauiMicroSample\MauiMicroSample.csproj,File,sample\MauiMicroSample\MauiMicroSample.csproj,,,Refit 7.0.0,,,,,"Refit, 7.0.0  Recommendation:  Refit, 9.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,sample\MauiMicroSample\MauiMicroSample.csproj,File,sample\MauiMicroSample\MauiMicroSample.csproj,,,,,,,,Current target framework: net8.0-android;net8.0-ios;net8.0-maccatalyst;net8.0-windows10.0.19041.0 Recommended target framework: net8.0-android;net8.0-ios;net8.0-maccatalyst;net8.0-windows10.0.19041.0;net10.0-windows
